feature,importance
log_likes,0.5765031
engagement_rate,0.2146725
likes_per_view,0.066267945
log_comments,0.026462711
comments_per_view,0.018526398
days_since_upload,0.01602788
title_word_count,0.015538917
is_short_video,0.011460263
tag_count,0.008866248
log_days_since_upload,0.008050696
title_length,0.006939705
has_numbers,0.006694864
channel_video_count,0.006391529
log_channel_subscribers,0.0059177806
duration_seconds,0.0037488427
has_clickbait_words,0.0023516933
has_exclamation,0.0020104665
log_duration,0.001104775
description_length,0.0010003372
title_uppercase_ratio,0.0009955594
